# X-Filed  Y-Field    Wavelength  X-Coord Y-Coord     Rays-thru
# (min)    (min)      (micron)    (mm)         (mm)           %
0.00    -1.50   0.39100     0.00000     -5.24215        100.00
0.00    -1.50   0.39370     0.00000     -3.21228        100.00
0.00    -1.50   0.39640     0.00000     -1.18061        100.00
0.00    -1.50   0.39910     0.00000     0.85295     100.00
0.00    -1.50   0.40180     0.00000     2.88849     100.00
0.00    -1.50   0.40450     0.00000     4.92608     100.00
0.00    -1.50   0.40720     0.00000     6.96581     100.00
0.00    -1.50   0.40990     0.00000     9.00776     100.00
0.00    -1.50   0.41260     0.00000     11.05202        100.00
0.00    -1.50   0.41530     0.00000     13.09868        100.00
0.00    -1.50   0.41800     0.00000     15.14782        100.00
0.00    -1.50   0.42070     0.00000     17.19953        100.00
0.00    -1.50   0.42340     0.00000     19.25389        100.00
0.00    -1.50   0.42610     0.00000     21.31099        100.00
0.00    -1.50   0.42880     0.00000     23.37091        100.00
0.00    -1.50   0.43150     0.00000     25.43375        100.00
0.00    -1.50   0.43420     0.00000     27.49959        100.00
0.00    -1.50   0.43690     0.00000     29.56852        100.00
0.00    -1.50   0.43960     0.00000     31.64063        100.00
0.00    -1.50   0.44230     0.00000     33.71600        100.00
0.00    -1.50   0.44500     0.00000     35.79472        100.00
0.00    -1.50   0.44770     0.00000     37.87689        100.00
0.00    -1.50   0.45040     0.00000     39.96259        100.00
0.00    -1.50   0.45310     0.00000     42.05191        100.00
0.00    -1.50   0.45580     0.00000     44.14494        100.00
0.00    -1.50   0.45850     0.00000     46.24177        100.00
0.00    -1.50   0.46120     0.00000     48.34248        100.00
0.00    -1.50   0.46390     0.00000     50.44718        100.00
0.00    -1.50   0.46660     0.00000     52.55594        100.00
0.00    -1.50   0.46930     0.00000     54.66884        99.68
0.00    -1.50   0.47200     0.00000     56.78598        99.68
0.00    -1.50   0.47470     0.00000     58.90746        99.68
0.00    -1.50   0.47740     0.00000     61.03334        99.68
0.00    -1.50   0.48010     0.00000     63.16375        99.68
0.00    -1.50   0.48280     0.00000     65.29875        99.05
0.00    -1.50   0.48550     0.00000     67.43845        98.42
0.00    -1.50   0.48820     0.00000     69.58293        98.42
0.00    -1.50   0.49090     0.00000     71.73226        98.42
0.00    -1.50   0.49360     0.00000     73.88656        97.79
0.00    -1.50   0.49630     0.00000     76.04588        97.79
0.00    -1.50   0.49900     0.00000     78.21034        96.53
0.00    -1.50   0.50170     0.00000     80.38000        95.27
0.00    -1.50   0.50440     0.00000     82.55495        94.32
0.00    -1.50   0.50710     0.00000     84.73526        94.32
0.00    -1.50   0.50980     0.00000     86.92104        94.32
0.00    -1.50   0.51250     0.00000     89.11233        93.69
0.00    -1.50   0.51520     0.00000     91.30921        93.69
0.00    -1.50   0.51790     0.00000     93.51179        93.06
0.00    -1.50   0.52060     0.00000     95.72007        92.43
0.00    -1.50   0.52330     0.00000     97.93418        92.43
0.00    -1.50   0.52600     0.00000     100.15415       91.80
0.00    -1.50   0.52870     0.00000     102.38005       90.54
0.00    -1.50   0.53140     0.00000     104.61196       89.59
0.00    -1.50   0.53410     0.00000     106.84990       88.96
0.00    -1.50   0.53680     0.00000     109.09396       88.33
0.00    -1.50   0.53950     0.00000     111.34416       87.70
0.00    -1.50   0.54220     0.00000     113.60053       86.44
0.00    -1.50   0.54490     0.00000     115.86313       84.86
0.00    -1.50   0.54760     0.00000     118.13191       84.23
0.00    -1.50   0.55030     0.00000     120.40691       83.60
0.00    -1.50   0.55300     0.00000     122.68814       82.97
0.00    -1.50   0.55570     0.00000     124.97558       81.70
0.00    -1.50   0.55840     0.00000     127.26927       79.50
1.04    -1.50   0.31000     -19.62531       -65.58403       98.42
1.04    -1.50   0.31270     -19.61752       -63.57027       98.42
1.04    -1.50   0.31540     -19.60997       -61.55702       98.74
1.04    -1.50   0.31810     -19.60268       -59.54427       99.05
